ots_id	source	target	stance	year	title	subtitle	text
OTS_20021114_OTS0134	1100000	0	-2.0	2002	Einladung: Freitag, 15.November 2002, 10.00 Uhr: PK mit LHStv. Peter Ambrozy, GGL Oskar Strohmeyer und Labg Rudolf Schober	"Thema: ""Sicherheitsfragen? Sicherheitsantworten!"""	Klagenfurt (SP-KTN) -Gendameriegeneral Oskar Strohmeyer, LHStv. Dr. Peter Ambrozy und Labg. Rudolf Schober laden zu einem Pressegespräch.  
OTS_20060829_OTS0094	1100000	2	-1.0	2006	Broukal zu Uni-Ranking: In Ära Gehrer Abstand zur Weltspitze größer statt kleiner geworden	"SPÖ-Sofortprogramm ""Mehr Geld, mehr Frauen, mehr Freiheit"""	"Wien (SK) - ""Das Abrutschen der Uni Wien im internationalen Ranking war klar abzusehen, geht doch ein Gutteil der Nobelpreise auf die medizinische Fakultät zurück"", so SPÖ-Wissenschaftssprecher Josef Broukal zum internationalen Universitäten-Ranking der Shanghaier Jiaotong Universität. ""Auch wenn man dieses Ranking nicht auf die Goldwaage legen soll, zeigt das Abschneiden der österreichischen Universitäten klar: In der Ära Gehrer ist der Weg zur viel beschworenen Weltklasse nicht kürzer sondern länger geworden"", so Broukal am Dienstag gegenüber dem SPÖ-Pressedienst. Die SPÖ in Regierungsverantwortung wird ein Sofortprogramm für die Universitäten unter dem Titel ""Mehr Geld, mehr Frauen, mehr Freiheit"" umsetzen. ****  "
OTS_20060916_OTS0020	1400000	2	-1.0	2006	Van der Bellen: Will Schüssel weiterhin mit Nazi-Verharmlosern regieren?	Veit Schalle bezeichnet das NS-Wirtschaftsprogramm als 'beeindruckend'	"Wien (OTS) - Veit Schalle bezeichnet das Wirtschaftsprogramm des NS-Regimes als 'beeindruckend'. Und das auf die Frage von 'profil', was er von Haiders Aussage von der 'ordentlichen Beschäftigungspolitik' halte. "" Das sind Aussagen des derzeitigen Regierungspartners der ÖVP, das ist Jörg Haider pur. Und Schüssel schließt trotz allem die Fortsetzung einer Koalition mit dieser Truppe nicht aus. Will Schüssel weiterhin mit Nazi-Verharmlosern regieren?"", fragt Alexander Van der Bellen, Bundessprecher der Grünen.  "
OTS_20171002_OTS0168	1300000	2	-1.0	2017	Kickl: Moscheen-Studie: Ein weiterer Beweis für das Versagen von Integrationsminister Sebastian Kurz!	Kaum eine Woche ohne neue Islam-Studie und alle kommen zu nahezu gleichen Ergebnissen – Integration findet in Österreich nicht statt	Wien (OTS) - „Wenn der ÖVP-Chef und Integrationsminister heute Rückschlüsse aus der jüngst veröffentlichten Studie des Österreichischen Integrationsfonds bezüglich der Inhalte und Predigten der großen Moscheen zieht, dann muss er zuallererst sein eigenes Versagen in diesem Bereich analysieren. Hier könne sich Kurz nämlich nicht auf irgendwelche Fremdverantwortung ausreden – seit sieben Jahren ist er dafür der Hauptverantwortliche in der Republik und seit sieben Jahren passiert außer Mediengetöse genau gar nichts“, so heute FPÖ-Generalsekretär NAbg. Herbert Kickl.
OTS_20021016_OTS0208	1200000	2	1.0	2002	Rauch-Kallat: Richtig, dass Strasser bei Rückkehrberatung handelt	"""European Homecare"" international anerkanntes Dienstleistungsunternehmen mit breiter Erfahrung"	"Wien, 16. Oktober 2002 (ÖVP-PK) ""Es ist ganz einfach richtig und vernünftig, dass das Innenministerium im Bereich der Rückkehrberatung gemeinsam mit einem international anerkannten Partner handelt. Es wäre nicht ehrlich und menschlich, wenn man Wirtschaftsflüchtlinge, die keine Chance auf Asyl haben, monatelang in Notquartieren unterbrächte und ihnen falsche Hoffnungen machte"", sagte ÖVP-Generalsekretärin Abg. z. NR Maria Rauch-Kallat, heute, Mittwoch. ""European Homecare"" sei ein international anerkanntes Dienstleistungsunternehmen, ""das auf eine breite Erfahrung im Bereich der Beratung und Betreuung von Asylwerbern und Flüchtlingen verweisen kann"". ****  "
OTS_20060907_OTS0223	1100000	1	1.0	2006	Broukal zu Medizin-Quote: SPÖ bringt Quotenverbund-Antrag in Nationalrat ein	"Rasche Hilfe für rund 120 ""Quotenreisende"" möglich"	"Wien (SK) - ""Wir wollen den schikanösen Quotentourismus für Medizin-Studierende beenden. In der Nationalrats-Sondersitzung am Dienstag bringt die SPÖ den entsprechenden Antrag ein"", erklärte SPÖ-Wissenschaftssprecher Josef Broukal am Donnerstag. ""Zwei kleine Sätze in das Gesetz eingefügt und den Studierenden wäre geholfen - das wird selbst Blockade-Ministerin Gehrer akzeptieren können"", so Broukal. Rund 60 Studierende aus Wien werden nach Innsbruck geschickt und 60 Studierende, die in Innsbruck studieren wollten, müssen nach Wien. ""Für diese Quotenreisenden muss rasch eine Lösung gefunden werden. Wenn Gehrer nicht bereit ist, von sich aus tätig zu werden, muss die SPÖ eben ein bisschen nachhelfen"", sagte Broukal unter Verweis auf den Änderungsvorschlag der SPÖ. ****  "
OTS_20060828_OTS0185	1100000	0	-2.0	2006	Donnerstag, 31. August: Stadlbauer/Heinisch-Hosek - Pressekonferenz um 10 Uhr! (Achtung: neuer Termin!)  	<no subtitle>	"Wien (SK) - Die für kommenden Freitag, 1. September 2006, angekündigte Pressekonferenz mit SPÖ-Bundesfrauengeschäftsführerin Bettina Stadlbauer und SPÖ-Frauen- und Gleichbehandlungssprecherin Gabriele Heinisch-Hosek zum Thema ""Gewalt gegen Frauen"" findet bereits am Donnerstag, 31. August 2006, um 10 Uhr, statt. ****  "
OTS_20060927_OTS0105	1100000	2	-1.0	2006	Kadenbach: Schüssel-ÖVP kostete ländlichen Raum Lebensqualität und Arbeitsplätze	SPÖ wird in Infrastruktur, Arbeitplätze und Lebensqualität investieren	"St. Pölten, (SPI) - ""Seit dem Jahr 2000 wurden in Österreich 1.000 Postämter, 119 Gendarmerieposten, 70 Bezirksgerichte, 50 Kasernen und 17 Nebenbahnen geschlossen, der öffentliche Verkehr ausgedünnt und damit die Lebensqualität ganzer Regionen abgewertet. Tausende Arbeitplätze gingen verloren, der Wirtschaft fehlen wichtige Auftraggeber. Das alles haben wir einer Schüssel-ÖVP zu verdanken, deren Politik auch die ÖVP-Niederösterreich nur zugesehen hat. Niederösterreich braucht wieder einen starken Anwalt des ländlichen Raumes in der Bundesregierung, keine Politiker, die gegenüber den berechtigten Interessen unserer Städte und Gemeinden blind, taub und ignorant sind"", attestiert SPNÖ-Landesparteigeschäftsführerin, LAbg. Karin Kadenbach, VPNÖ-Hensler ein massives Ausmaß an Realitätsferne und Tatsachenverleugnung.****  "
OTS_20021119_OTS0199	1300000	1	-1.0	2002	Jost: SP wenig glaubwürdig bezüglich illegaler Beschäftigung	SP ungeeignet, um Arbeitsmarkt zu schützen	"Klagefurt.- 19 11 02.- ""Dass bei der Wahlkampftour der SPÖ in Kärnten ein illegales Beschäftigungsverhältnis mit einem Tschechen aufflog ist ein schlechtes Omen für das, was Österreich bevorsteht, wenn sie wieder in der Regierung wäre. Die Rechtfertigungen bezüglich dieses verbotenen Arbeitsverhältnisse klingen auch wenig glaubwürdig"", erklärte der Sprecher der FPÖ Kärnten, LAbg. Siegfried Jost.  "
OTS_20130917_OTS0131	1100000	2	-1.0	2013	Fekter: Steuerreform vielleicht schon 2015	SK-Dokumentation zu Zick-Zack-Kurs der Spindelegger-ÖVP in Sachen Steuerreform	"Wien (OTS/SK) - Die ÖVP lehnt heute, Montag, dasSteuerentlastungskonzept der SPÖ für die kleinen und mittlerenEinkommensbezieherInnen ab und bezeichnet dieses als ""Wahlzuckerl"".Damit wiederspricht sich die ÖVP einmal mehr selbst, denn seitMonaten fordert die Volkspartei eine Steuerreform. Im Folgendenstellt der SPÖ-Pressedienst eine Dokumentation der Aussagen vonÖVP-Obmann Spindelegger und ÖVP-Finanzministerin Maria Fekter zumThema Steuerentlastung zu Verfügung. ****  "
