ots_id	source	target	stance	year	title	subtitle	text
OTS_20080923_OTS0176	1200000	1	-1.0	2008	Kössl an Parnigoni: SPÖ ist Unsicherheitspartei Nummer Eins	SPÖ betreibt gezielte Verunsicherung der Bevölkerung	Wien, 23. September 2008 (ÖVP-PK) 'Die SPÖ ist und bleibt die Unsicherheitspartei Nummer Eins. Die SPÖ betreibt gezielte Verunsicherung der Bevölkerung in Sachen Sicherheit', so ÖVP-Sicherheitssprecher Günter Kössl zu Parnigoni. 'Täglich kommen die gleichen Äußerungen aus Richtung SPÖ, wonach Österreich unsicher sei. Die Zahlen sprechen für sich', so Kössl und verweist auf den Rückgang der Kriminalität in zahlreichen Delikten wie Diebstahl und Raub. ****  
OTS_20130820_OTS0164	1300000	1	-1.0	2013	FPÖ-Trettenbrein: SP-Seiser hat keine Ahnung von den Ressortzuständigkeiten der Landesregierungsmitglieder	LHStv. Schaunig-Kandut und nicht LR Ragger für Ortsbildpflege zuständig	"Klagenfurt (OTS) - ""Dass die SPÖ heillos mit ihrer Regierungsverantwortung überfordert ist, wurde heute wieder eindrucksvoll unter Beweis gestellt"", kommentiert der freiheitliche Klubobmannstellvertreter, LAbg. Harald Trettenbrein, die Tatsache, dass SPÖ-Klubobmann Herwig Seiser sich nicht einmal in der Ressortaufteilung in den eigenen Reihen auskennt. So ist nicht LR Mag. Christian Ragger für das Ortsbildpflegegesetz zuständig, sondern Seisers eigene Parteigenossin LHStv. Schaunig-Kandut. ""Wenn man aber wie die SPÖ nur an größtmöglicher Macht interessiert ist und Parteipolitik den Interessen des Landes vorzieht, kann so eine Verwechslung schon mal passieren"", sagt Trettenbrein abschließend.   "
OTS_20060830_OTS0041	1200000	1	-1.0	2006	Lopatka zu Verzetnitsch: Reiche werden im roten Netzwerk reicher  	Noch-SPÖ-Vorstandsmitglied Verzetnitsch soll 800.000 Euro bekommen - Pensionen der kleinen ÖGB-Mitglieder werden gekürzt	"Wien, 30. August 2006 (ÖVP-PK) ""Im roten Netzwerk werden Arme ärmer und Reiche reicher"", so ÖVP-Generalsekretär Dr. Reinhold Lopatka zu Meldungen im ""Kurier"". Noch-SPÖ-Vorstandsmitglied Fritz Verzetnitsch, der auch im SPÖ-Kompetenzteam Wirtschaft verankert ist, will von seinem ehemaligen Arbeitgeber 800.000 Euro bekommen. ""Verzetnitsch, der im November 2004 mit 99,49 Prozent im Gegensatz zu Gusenbauer (86,66 Prozent) ein hervorragendes Ergebnis bei der Wahl in den SPÖ-Bundesparteivorstand erhalten hat, gehört diesem trotz seiner Entlassung im ÖGB bis heute an"", so Lopatka. ****  "
OTS_20060921_OTS0079	1200000	2	1.0	2006	Christine Marek: ÖVP-Sachpolitik gegen oppositionelles Lamentieren, Ängsteschüren und Wahlkampfgetöse	ÖVP-Abgeordnete in der Aktuellen Stunde	"Wien (ÖVP-PK) - Unsere Arbeit und unsere Wahlauseinandersetzung zeichnet Sachpolitik aus, betonte ÖVP-Abgeordnete Christine Marek heute, Donnerstag, im Rahmen der Aktuellen Stunde im Nationalrat und stellte damit die Arbeit der ÖVP in Gegensatz zum polemischen und unsachlichen Agieren der Opposition. ""Noch nie zuvor hatten so viele Frauen in Österreich einen Job wie heute. Im August 2006 waren es genau 1.539.698 Frauen und damit um rund 27.000 mehr als vor einem Jahr. Das ist eine herzeigbare Zahl und ein Beweis für die gute Arbeitsmarktpolitik der Bundesregierung"", betonte Marek. ****  "
OTS_20060924_OTS0013	1200000	1	-1.0	2006	Hensler: Gusenbauer ist eine Bedrohung für die ländliche Entwicklung	VP arbeitet konsequent für weitere Stärkung des ländlichen Raumes	"St. Pölten (NÖI) - ""Kommt Gusenbauer, bringt das eine enorme Bedrohung für die ländliche Entwicklung in Niederösterreich. Denn durch seine Forderungen ist die Existenz der Bauern und vieler wichtiger Projekte für die ländliche Entwicklung gefährdet. Das hat er mit seiner Forderung, die Förderungen für unsere Regionen um 50 Prozent zu kürzen, bewiesen"", sagt der VP-Landtagsabgeordnete Friedrich Hensler.  "
OTS_20060927_OTS0218	1100000	2	-1.0	2006	Bures: Schüssel weigert sich in seiner Abgehobenheit, die Sorgen der Menschen ernst zu nehmen	Nicht SPÖ redet Gesundheitssystem krank, sondern ÖVP macht es krank	"Wien (SK) - Heftig kritisierte SPÖ-Bundesgeschäftsführerin Doris Bures die Aussagen von ÖVP-Obmann Schüssel im heutigen Mittagsjournal. Mit einer Umfrage konfrontiert, dass 54 Prozent der Menschen sagen, es würde ihnen heute schlechter als vor sechs Jahren gehen, erklärte Schüssel, dies hänge mit der Berichterstattung über Deutschland nach Rot-Grün zusammen. So hätten die Menschen in Österreich den Eindruck, da stimme was nicht. ""Es ist geradezu unfassbar, wie sehr Schüssel sich in seiner Abgehobenheit weigert, die Sorgen der Menschen ernst zu nehmen. Wenn Schüssel dann auch noch sagt, das sei der Weg, den er weiterfahren will, so ist das als gefährliche Drohung zu werten"", so Bures am Mittwoch gegenüber dem SPÖ-Pressedienst. ****  "
OTS_20080902_OTS0202	1300000	0	-1.0	2008	"Haimbuchner: ""Asyllandesrat Ackerl soll sich endlich für Österreicher einsetzen!"""	FPÖ steht für konsequente und gerechte Asylpolitik	"Wien (OTS) - ""Während ÖVP und SPÖ im Bund den Wählern vortäuschen möchten sich für Österreich und die Sicherheit einzusetzen, zeigen manche oberösterreichische Landespolitiker und Bürgermeister das wahre Gesicht von Rot und Schwarz. Landesrat Ackerl tritt nur mehr in Erscheinung, wenn es darum geht für Scheinasylanten ein Bleiberecht zu erkämpfen. In dieselbe Kerbe schlagen auch schwarze Bürgermeister mit der Unterstützung des Landeshauptmanns. Die Signalwirkung an weitere Scheinasylanten ist fatal. Stattdessen sollten sie sich der österreichischen Bevölkerung annehmen"", reagierte heute der oberösterreichische FPÖ NAbg. Dr. Manfred Haimbuchner auf den Abschiebestopp der Pacollis und der erneuten Prüfung für ein humanitäres Bleiberecht.  "
OTS_20130923_OTS0159	1100000	3	-1.0	2013	Blecha: Glaubt FPÖ-Neubauer das, was er schreibt?	Unter FPÖ-Sozialministern größte Belastungen aller Zeiten für Pensionisten!	Wien (OTS/SK) - Zur heutigen Aussendung des FPÖ-Abgeordneten Neubauerstellt Pensionistenverbands-Präsident Karl Blecha als kleineGedächtnisstütze eine Liste der Belastungen unter Schwarz-Blau mitFPÖ-Sozialministern zusammen:   
OTS_20060926_OTS0115	1400000	0	0.0	2006	Glawischnig nach UNO-Klimastudie: Klimapakt aller Parteien notwendig	Grüne fordern raschen Klimaschutz-Aktionsplan	"Wien (OTS) - ""Die aktuelle UNO-Klimastudie bestätigt eindringlich die Warnungen der Klimaforschung vor den gravierenden Folgen des menschengemachten Klimawandels"", so Eva Glawischnig, stv. Bundessprecherin der Grünen. ""Die Bundesregierung, aber auch viele europäische Staaten haben diese Warnungen bisher weitgehend ignoriert"", kritisiert Glawischnig. ""Der Klimawandel ist mittlerweile zur mess- und spürbaren Tatsache geworden. Wenn nicht innerhalb der kommenden Jahre eine Trendwende bei den Treibhausgasemissionen gelingt, wird sich der Klimawandel beschleunigen, mit katastrophalen Auswirkungen auch für Österreich und Europa"" so Glawischnig. Die Grünen schlagen angesichts der dramatischen UNO-Klimastudie einen Klimapakt der österreichischen Parteien vor. ""Unabhängig vom Ausgang der Wahl sollen sich die Parteien verpflichten, unmittelbar nach der Wahl einen Klimaschutz-Aktionsplan zu verabschieden, der sicherstellt, dass Österreich sein Klimaschutzziel erreichen kann"", so Glawischnig. ""Österreich zählt derzeit zu den Klimaschutz-Schlusslichtern in Europa, die bisherigen Anstrengungen reichen nicht aus. BM Pröll arbeitet angeblich seit Monaten an einer neuen Klimastrategie, bis heute gibt es aber keinen Plan, wie Österreich beim Klimaschutz auf Kurs gebracht werden soll"", so Glawischnig. ""Dabei bietet der Klimaschutz auch viele wirtschaftliche Chancen. Eine konsequente Energiewende als Schlüssel zum Klimaschutz kann Zehntausende neue Arbeitsplätze schaffen.  "
OTS_20130909_OTS0169	1100000	2	-1.0	2013	Wurm: ÖVP macht Familienpolitik von vorgestern	Teilzeitarbeit oft unfreiwillig - Rechtsanspruch auf Kinderbetreuungsplatz sichert Wahlfreiheit	"Wien (OTS/SK) - SPÖ-Frauensprecherin Gisela Wurm kritisiert dierückwärtsgewandte Familienpolitik der ÖVP: ""Geht es nach der ÖVPsollen Frauen, wenn überhaupt, höchstens Teilzeit arbeiten, umnebenbei Familie und Haushalt zu versorgen wie anno dazumal. Die ÖVPsieht Frauen immer noch am liebsten zu Hause am Herd. Sie betreibtFamilienpolitik von vorgestern, die an den Bedürfnissen modernerFamilien vorbeigeht."" Kaum habe man sich in der Regierung auf einenraschen Ausbau flächendeckender Kinderbetreuungsplätze geeinigt,versuche die ÖVP auch schon wieder, zurückzurudern: ""Wir brauchendiesen raschen Ausbau, um Familien - und insbesondere Frauen - dieVereinbarkeit von Familie und Beruf zu ermöglichen"", unterstrich Wurmam Montag gegenüber dem SPÖ-Pressedienst.****  "
